subject,roi,brain_metric,comparator,level,split_mode,n_repeats,n_splits,n_stimuli,n_voxels,rdm_cv,degenerate_rdm,r_hh,r_sb,r_sb_lo,r_sb_hi,ceiling_one_sided
01,Early_VC,correlation,spearman,L3,contiguous,12,1,100,2585,0.30804340654956414,False,0.6473331334798778,0.7859164856502717,,,0.8865193092371264
01,Early_VC,correlation,kendall,L3,contiguous,12,1,100,2585,0.30804340654956414,False,0.4672605219705644,0.6369155510883955,,,0.7980698911050307
01,Early_VC,correlation,l1_r0,L1,alternating,12,1,100,2585,0.30804340654956414,False,0.9847775089767458,0.9923303791208807,,,0.9961578083420722
01,Early_VC,correlation,pearson,L2,alternating,12,1,100,2585,0.30804340654956414,False,0.6952498596677674,0.820232906320985,,,0.9056671056856294
01,Early_VC,correlation,spearman,L3,alternating,12,1,100,2585,0.30804340654956414,False,0.6506776888101877,0.7883764265078275,,,0.8879056405428606
01,Early_VC,correlation,kendall,L3,alternating,12,1,100,2585,0.30804340654956414,False,0.4673860855473302,0.6370321896203571,,,0.7981429631465513
01,Early_VC,euclidean_centered,l1_r0,L1,all,12,462,100,2585,0.11204529850440066,False,0.9966374822277437,0.9983159097221271,0.997985614381778,0.9986027743066482,0.9991576000422191
01,Early_VC,euclidean_centered,pearson,L2,all,12,462,100,2585,0.11204529850440066,False,0.5248258172259298,0.6883747786756782,0.6298408323934866,0.7385225269024527,0.8296835412828666
01,Early_VC,euclidean_centered,spearman,L3,all,12,462,100,2585,0.11204529850440066,False,0.45649417221128263,0.6268396824660448,0.5616469064880847,0.6808981740241087,0.791732077451738
01,Early_VC,euclidean_centered,kendall,L3,all,12,462,100,2585,0.11204529850440066,False,0.3150536529048258,0.47914950421817826,0.42131954772772834,0.5293423227882907,0.692206258436153
01,Early_VC,euclidean_centered,l1_r0,L1,contiguous,12,1,100,2585,0.11204529850440066,False,0.996797486145587,0.9983961749368011,,,0.9991977656784472
01,Early_VC,euclidean_centered,pearson,L2,contiguous,12,1,100,2585,0.11204529850440066,False,0.5215588333316117,0.685558549437887,,,0.8279846311604383
