roi,brain_metric,model_rdm,level,comparator,n_stimuli,n_cells,r_sb_model,l1_cv_model,subject,row_type,score_obs,score_per_subject,perm_p,perm_z,n_perm,perm_seed,nili_upper,nili_lower,nili_upper_ci_lo,nili_upper_ci_hi,nili_lower_ci_lo,nili_lower_ci_hi,nili_crossed,l1_baseline,l1_cv_brain,achievement_nili_lower,achievement_nili_upper,r_hh_brain,r_sb_brain,split_mode,n_splits,ceiling_one_sided,ceiling_two_sided,achievement_one_sided,achievement_two_sided,degenerate
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L2,pearson,100,4950,1.0,,sub-03,split_half,0.06489593283296757,,0.01098901098901099,2.615366419119044,1000,13730506320845282531,,,,,,,False,,,,,0.2490682284967973,0.3988064427778149,all,462.0,0.6315112372537918,0.6315112372537918,0.10276291062559065,0.10276291062559065,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,spearman,100,4950,1.0,,F1+F2+F3,nili,0.055418825976926184,0.091444;0.024717;0.050096,0.01998001998001998,2.167155505213651,1000,13730506320845282528,0.7166139740598725,0.3487817515255589,0.7166139740598725,0.9999999999999999,0.3487817515255589,0.9999999999999999,False,,,0.1588925617080774,0.07733428035593398,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,spearman,100,4950,1.0,,sub-01,split_half,0.0914440962272312,,0.003996003996003996,2.602469335704278,1000,13730506320845282529,,,,,,,False,,,,,0.2486916142364831,0.3983235114276738,all,462.0,0.6311287597849379,0.6311287597849379,0.14488976268232728,0.14488976268232728,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,spearman,100,4950,1.0,,sub-02,split_half,0.024716674693862732,,0.23576423576423577,0.6891847134912455,1000,13730506320845282530,,,,,,,False,,,,,0.4397427815640964,0.61086297801941,all,462.0,0.7815772373984609,0.7815772373984609,0.0316240974163143,0.0316240974163143,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,spearman,100,4950,1.0,,sub-03,split_half,0.05009570700968463,,0.07892107892107893,1.4844354957008459,1000,13730506320845282531,,,,,,,False,,,,,0.2337793407971959,0.3789645896423285,all,462.0,0.6156009987340245,0.6156009987340245,0.08137690990220257,0.08137690990220257,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,kendall,100,4950,1.0,,F1+F2+F3,nili,0.03710479891526567,0.060709;0.016848;0.033757,0.01998001998001998,2.174246479474191,1000,13730506320845282528,0.5196593248827691,0.23688202076827422,0.5196593248827691,0.9999999999999999,0.23688202076827422,0.9999999999999999,False,,,0.15663830794301947,0.07140216125946784,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,kendall,100,4950,1.0,,sub-01,split_half,0.060708846394843564,,0.003996003996003996,2.589417042857723,1000,13730506320845282529,,,,,,,False,,,,,0.1679771744291665,0.2876377691392183,all,462.0,0.5363187197359591,0.5363187197359591,0.11319546411643397,0.11319546411643397,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,kendall,100,4950,1.0,,sub-02,split_half,0.016848297074605417,,0.23076923076923078,0.7026513437692075,1000,13730506320845282530,,,,,,,False,,,,,0.3032019957892953,0.4653184951664511,all,462.0,0.6821425768609163,0.6821425768609163,0.024699084393966304,0.024699084393966304,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L3,kendall,100,4950,1.0,,sub-03,split_half,0.033757253276348036,,0.07792207792207792,1.4991059444835126,1000,13730506320845282531,,,,,,,False,,,,,0.1574359485599589,0.2720426106616702,all,462.0,0.5215770419235016,0.5215770419235016,0.06472150912136797,0.06472150912136797,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L1,l1_r0,100,4950,1.0,0.5589913503125625,F1+F2+F3,nili,0.8567218070570434,0.855565;0.854638;0.859962,0.999000999000999,-2.6816170235305132,1000,13116174186720867661,0.9932821775910972,0.9848752464191871,0.993282177591097,1.0000000000000002,0.9848752464191871,1.0,False,0.8606945864519471,,-0.03199193333286968,-0.02996343293343559,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L1,l1_r0,100,4950,1.0,0.5589913503125625,sub-01,split_half,0.8555650296748525,,0.991008991008991,-2.953346937023035,1000,13116174186720867662,,,,,,,False,0.861389929273584,0.1638855755675248,,,0.9873799073643864,0.993649884157101,all,462.0,0.99681988551448,0.99681988551448,-0.04301042221685816,-0.04301042221685816,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L1,l1_r0,100,4950,1.0,0.5589913503125625,sub-02,split_half,0.8546381961143622,,0.8461538461538461,-0.99078109402613,1000,13116174186720867663,,,,,,,False,0.8570578888133424,0.19304229597369058,,,0.9881640080751104,0.9940467728633972,all,462.0,0.997018943081523,0.997018943081523,-0.01728832861135672,-0.01728832861135672,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L1,l1_r0,100,4950,1.0,0.5589913503125625,sub-03,split_half,0.8599621953819155,,0.985014985014985,-2.145364850039977,1000,13116174186720867664,,,,,,,False,0.8636359412689146,0.1467120805157802,,,0.9897458686497292,0.994846512053708,all,462.0,0.997419927640163,0.997419927640163,-0.027460281208877328,-0.027460281208877328,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L2,pearson,100,4950,1.0,,F1+F2+F3,nili,-0.0509135913255311,-0.074119;-0.026424;-0.052197,1.0,-2.766629210063484,1000,13116174186720867661,0.7241934905900479,0.35848481513640684,0.7241934905900479,1.0,0.35848481513640684,1.0,False,,,-0.14202440152495163,-0.07030385109378498,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L2,pearson,100,4950,1.0,,sub-01,split_half,-0.0741190475975398,,0.991008991008991,-2.9533469370230985,1000,13116174186720867662,,,,,,,False,,,,,0.2821658191902222,0.4401393563407107,all,462.0,0.6634299935492144,0.6634299935492144,-0.11172097782468064,-0.11172097782468064,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L2,pearson,100,4950,1.0,,sub-02,split_half,-0.026424401830886596,,0.8461538461538461,-0.990781094026071,1000,13116174186720867663,,,,,,,False,,,,,0.4736228051643895,0.6428005911751001,all,462.0,0.8017484587918459,0.8017484587918459,-0.032958469132208255,-0.032958469132208255,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L2,pearson,100,4950,1.0,,sub-03,split_half,-0.05219732454816691,,0.985014985014985,-2.1453648500399294,1000,13116174186720867664,,,,,,,False,,,,,0.2490682284967973,0.3988064427778149,all,462.0,0.6315112372537918,0.6315112372537918,-0.08265462507865058,-0.08265462507865058,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,spearman,100,4950,1.0,,F1+F2+F3,nili,-0.04234800477479724,-0.069822;-0.020560;-0.036662,0.9560439560439561,-1.669839392104699,1000,13116174186720867661,0.7166139740598725,0.3487817515255589,0.7166139740598725,0.9999999999999999,0.3487817515255589,0.9999999999999999,False,,,-0.12141691642285923,-0.05909458412439373,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,spearman,100,4950,1.0,,sub-01,split_half,-0.06982201660823298,,0.973026973026973,-2.0383970508689777,1000,13116174186720867662,,,,,,,False,,,,,0.2486916142364831,0.3983235114276738,all,462.0,0.6311287597849379,0.6311287597849379,-0.11063038330249027,-0.11063038330249027,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,spearman,100,4950,1.0,,sub-02,split_half,-0.02055956659767642,,0.7222777222777222,-0.5843931173267803,1000,13116174186720867663,,,,,,,False,,,,,0.4397427815640964,0.61086297801941,all,462.0,0.7815772373984609,0.7815772373984609,-0.026305226935869445,-0.026305226935869445,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,spearman,100,4950,1.0,,sub-03,split_half,-0.0366624311184823,,0.8661338661338661,-1.075603148538283,1000,13116174186720867664,,,,,,,False,,,,,0.2337793407971959,0.3789645896423285,all,462.0,0.6156009987340245,0.6156009987340245,-0.05955550948402962,-0.05955550948402962,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,kendall,100,4950,1.0,,F1+F2+F3,nili,-0.028615950030377185,-0.046513;-0.014174;-0.025161,0.958041958041958,-1.691383721775654,1000,13116174186720867661,0.5196593248827691,0.23688202076827422,0.5196593248827691,0.9999999999999999,0.23688202076827422,0.9999999999999999,False,,,-0.1208025410183842,-0.05506674981120123,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,kendall,100,4950,1.0,,sub-01,split_half,-0.04651297782839508,,0.972027972027972,-2.0347243952070557,1000,13116174186720867662,,,,,,,False,,,,,0.1679771744291665,0.2876377691392183,all,462.0,0.5363187197359591,0.5363187197359591,-0.08672637392051948,-0.08672637392051948,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,kendall,100,4950,1.0,,sub-02,split_half,-0.014173907186637028,,0.7322677322677322,-0.604373575854181,1000,13116174186720867663,,,,,,,False,,,,,0.3032019957892953,0.4653184951664511,all,462.0,0.6821425768609163,0.6821425768609163,-0.020778511219549607,-0.020778511219549607,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,kendall,100,4950,1.0,,sub-03,split_half,-0.025160965076099443,,0.8711288711288712,-1.1070449574982062,1000,13116174186720867664,,,,,,,False,,,,,0.1574359485599589,0.2720426106616702,all,462.0,0.5215770419235016,0.5215770419235016,-0.04824016981903459,-0.04824016981903459,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L1,l1_r0,100,4950,1.0,0.1584528529687979,F1+F2+F3,nili,0.9758698520633194,0.977830;0.970698;0.979082,0.000999000999000999,2.8095425001057865,1000,12789112940224746655,0.9932821775910972,0.9848752464191871,0.993282177591097,1.0000000000000002,0.9848752464191871,1.0,False,0.9738886836713583,,0.18032649859963548,0.10215634171750308,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L1,l1_r0,100,4950,1.0,0.1584528529687979,sub-01,split_half,0.977829563398454,,0.001998001998001998,3.422867084590581,1000,12789112940224746656,,,,,,,False,0.9746754743819355,0.1638855755675248,,,0.9873799073643864,0.993649884157101,all,462.0,0.99681988551448,0.99681988551448,0.1424327338234376,0.1424327338234376,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L1,l1_r0,100,4950,1.0,0.1584528529687979,sub-02,split_half,0.9706979912641751,,0.1998001998001998,0.808196276222875,1000,12789112940224746657,,,,,,,False,0.9697737063821767,0.19304229597369058,,,0.9881640080751104,0.9940467728633972,all,462.0,0.997018943081523,0.997018943081523,0.03392464129410704,0.03392464129410704,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L1,l1_r0,100,4950,1.0,0.1584528529687979,sub-03,split_half,0.9790820015273293,,0.015984015984015984,2.2408706845820663,1000,12789112940224746658,,,,,,,False,0.9772168702499628,0.1467120805157802,,,0.9897458686497292,0.994846512053708,all,462.0,0.997419927640163,0.997419927640163,0.0923192584836761,0.0923192584836761,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L2,pearson,100,4950,1.0,,F1+F2+F3,nili,0.0791095864587103,0.124443;0.030966;0.081920,0.000999000999000999,2.9181675425382,1000,12789112940224746655,0.7241934905900479,0.35848481513640684,0.7241934905900479,1.0,0.35848481513640684,1.0,False,,,0.22067764970354006,0.10923819046516772,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L2,pearson,100,4950,1.0,,sub-01,split_half,0.12444329330079494,,0.001998001998001998,3.4228670845906555,1000,12789112940224746656,,,,,,,False,,,,,0.2821658191902222,0.4401393563407107,all,462.0,0.6634299935492144,0.6634299935492144,0.18757562140814413,0.18757562140814413,False
