roi,brain_metric,model_rdm,level,comparator,n_stimuli,n_cells,nili_upper,nili_lower,nili_upper_ci_lo,nili_upper_ci_hi,nili_lower_ci_lo,nili_lower_ci_hi,nili_crossed,n_subjects,bootstrap,n_boot,boot_seed,l1_cv_model,subject,row_type,score_obs,score_per_subject,perm_p,perm_z,n_perm,perm_seed,nili_upper_subject,nili_lower_subject,l1_baseline,l1_cv_brain,achievement_nili_lower,achievement_nili_upper,degenerate
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,0.07910958645871029,0.124443;0.030966;0.081920,0.0018998100189981002,2.8895696937270494,10000,12789112940224746655,,,,,0.22067764970353979,0.10923819046516772,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-01,subject,0.12444329330079491,,0.0007999200079992001,3.4310690280640785,10000,12789112940224746656,0.7400056061839155,0.3839990610796454,,,0.34713686060438276,0.17183707796020484,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-02,subject,0.030965502823823134,,0.21747825217478253,0.7902166760805521,10000,12789112940224746657,0.6866333690730244,0.29727279570613435,,,0.08637884093372389,0.042758604193740425,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-03,subject,0.08191996325151282,,0.012198780121987801,2.3043353780837275,10000,12789112940224746658,0.7459414965132034,0.394182588623442,,,0.2285172475725127,0.11311888924155791,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,0.07506037232274872,0.126445;0.034106;0.064630,0.014698530146985302,2.1768110348548086,10000,12789112940224746655,,,,,0.2152072807549057,0.10474310443250925,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-01,subject,0.12644469675348527,,0.0032996700329967,2.766836537832418,10000,12789112940224746656,0.7293212272668476,0.3648790693766147,,,0.36253243238908195,0.1764474338075368,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-02,subject,0.03410600883088404,,0.24497550244975502,0.6977093945695043,10000,12789112940224746657,0.693716853845243,0.3164389074306153,,,0.09778610458174941,0.04759327903928721,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-03,subject,0.06463041138387682,,0.08339166083391661,1.4186343689330763,10000,12789112940224746658,0.7268038410675274,0.36502727776944677,,,0.18530330529388567,0.09018860045070373,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,cosine,100,4950,0.9982029733960704,0.9959559863421178,0.9975163869454824,0.9987729550731228,0.9944114780425309,0.9972387951892723,False,3,pattern,1000,274131568,0.6215286405986206,F1+F2+F3,group_mean,0.8418771189949125,0.841981;0.839159;0.844492,1.0,-7.974470366053562,10000,12429270699066063476,,,0.8460394268945949,,-0.02776416371227755,-0.02735417250308406,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,cosine,100,4950,0.9982029733960704,0.9959559863421178,0.9975163869454824,0.9987729550731228,0.9944114780425309,0.9972387951892723,False,3,pattern,1000,274131568,0.6215286405986206,sub-01,subject,0.8419810248142883,,1.0,-5.7752323444697415,10000,12429270699066063477,0.9983135101509367,0.9962041775031458,0.8460824776016806,0.08757481508298583,-0.02736609572873616,-0.02696186839238293,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,cosine,100,4950,0.9982029733960704,0.9959559863421178,0.9975163869454824,0.9987729550731228,0.9944114780425309,0.9972387951892723,False,3,pattern,1000,274131568,0.6215286405986206,sub-02,subject,0.839158567598877,,0.9999000099990001,-6.603070338499011,10000,12429270699066063478,0.9977642321495103,0.9949703247639904,0.8447475654899779,0.10419502390908592,-0.03696221321275576,-0.03642099009323348,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,cosine,100,4950,0.9982029733960704,0.9959559863421178,0.9975163869454824,0.9987729550731228,0.9944114780425309,0.9972387951892723,False,3,pattern,1000,274131568,0.6215286405986206,sub-03,subject,0.8444917645715724,,1.0,-5.1041066026621,10000,12429270699066063479,0.9985311778877641,0.9966934567592172,0.8472882375921262,0.06930655272187693,-0.018810219728668736,-0.01853015217935246,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,corr,100,4950,0.7375684253257283,0.38980998237383885,0.6955595039331774,0.777218472224161,0.2887822319779457,0.4849988339907162,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,-0.08984631325840851,-0.089607;-0.102633;-0.077298,1.0,-7.885877259949664,10000,12429270699066063476,,,,,-0.230487461381231,-0.12181420756824043,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,corr,100,4950,0.7375684253257283,0.38980998237383885,0.6955595039331774,0.777218472224161,0.2887822319779457,0.4849988339907162,False,3,pattern,1000,274131568,,sub-01,subject,-0.08960717678160475,,1.0,-5.775232344466827,10000,12429270699066063477,0.7513196315654063,0.4131305057738593,,,-0.22987399203047837,-0.12148998479975878,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,corr,100,4950,0.7375684253257283,0.38980998237383885,0.6955595039331774,0.777218472224161,0.2887822319779457,0.4849988339907162,False,3,pattern,1000,274131568,,sub-02,subject,-0.1026333691157044,,0.9999000099990001,-6.603070338496636,10000,12429270699066063478,0.7212817919458714,0.36242948348543746,,,-0.2632907666722503,-0.13915097988417685,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,corr,100,4950,0.7375684253257283,0.38980998237383885,0.6955595039331774,0.777218472224161,0.2887822319779457,0.4849988339907162,False,3,pattern,1000,274131568,,sub-03,subject,-0.07729839387791636,,1.0,-5.104106602661645,10000,12429270699066063479,0.7401038524659074,0.3938699578622198,,,-0.19829762544096421,-0.10480165802078566,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,0.7182097014674121,0.35221173257270216,0.67362828643509,0.7591679378891716,0.24789928509270442,0.4482911761318537,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,-0.08805834148763457,-0.082360;-0.110678;-0.071137,1.0,-5.369167869323118,10000,12429270699066063476,,,,,-0.2500153553784808,-0.12260812031321483,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,0.7182097014674121,0.35221173257270216,0.67362828643509,0.7591679378891716,0.24789928509270442,0.4482911761318537,False,3,pattern,1000,274131568,,sub-01,subject,-0.08235986482254506,,0.9989001099890011,-3.693567029133976,10000,12429270699066063477,0.7509340808035826,0.4026087321457566,,,-0.233836233168481,-0.11467384059874335,False
LOC,euclidean_centered,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,0.7182097014674121,0.35221173257270216,0.67362828643509,0.7591679378891716,0.24789928509270442,0.4482911761318537,False,3,pattern,1000,274131568,,sub-02,subject,-0.11067779410557019,,0.9999000099990001,-4.927453914029228,10000,12429270699066063478,0.7180160101969638,0.3481200491638773,,,-0.31423653407889957,-0.1541023379097199,False
